battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_error,cycle200_abs_error,actual_future_slope_per100,predicted_future_slope_per100,trend_sign_match
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,strategy_template,0.0005261387336666546,0.000534253570427873,0.00074210778333339,-0.0006120867166666821,0.0006120867166666821,-0.004157203571428633,-0.004034253529411663,True
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,supervised_ridge,0.00014708249544060026,0.00017299777558302517,0.00037776517636456397,-0.0001348299137083897,0.0001348299137083897,-0.004157203571428633,-0.0038806468340108354,True
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,template_individual,0.00018674994728708593,0.00021624970047912084,0.0004522887837757894,-0.00018700745328770196,0.00018700745328770196,-0.004157203571428633,-0.0036932331662061072,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.00018561726648995912,0.00021607368843184956,0.0004032453510813827,0.0004032453510813827,0.0004032453510813827,-0.005642754444444101,-0.004398920485979008,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.0002736197534609608,0.0002932541031090722,0.0004840708085553924,-0.00027980502888347303,0.00027980502888347303,-0.005642754444444101,-0.005648830550379004,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,local_linear,0.0003184855138500353,0.00037669367158971493,0.0007621811750000429,0.0007621811750000429,0.0007621811750000429,-0.005642754444444101,-0.0037300382499999385,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,strategy_template,0.0007718931236666826,0.0008818159411801526,0.0013251729833333448,0.0013251729833333448,0.0013251729833333448,-0.005642754444444101,-0.003054074947916527,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,supervised_ridge,0.00019879898191196954,0.00023388979448634134,0.0004577791539073228,0.0004577791539073228,0.0004577791539073228,-0.005642754444444101,-0.004342512484672239,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,template_individual,0.0003137023818295082,0.00037934481467623987,0.0006740557260459523,0.0006622255014773204,0.0006622255014773204,-0.005642754444444101,-0.0041037426199137935,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.00017656447790082242,0.000299299781743763,0.0012585970373106825,0.0009151522846755356,0.0009151522846755356,-0.0016694119512195556,-0.0021496169469661375,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.0001908127241358204,0.00030132689497516097,0.0012209819464340521,0.0008624310555969128,0.0008624310555969128,-0.0016694119512195556,-0.0021591496088139953,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,local_linear,0.00020429826423251418,0.00034831574415303805,0.0013532941069767102,0.0013122018953487524,0.0013122018953487524,-0.0016694119512195556,-0.0014066672093027144,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,strategy_template,0.012170516553000004,0.01217548042988095,0.012632853649999998,-0.01149343687499993,0.01149343687499993,-0.0016694119512195556,-0.0029943717424243195,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,supervised_ridge,0.0005337415126287181,0.0006355755468580188,0.0011135305753372515,1.5852583502340423e-05,1.5852583502340423e-05,-0.0016694119512195556,-0.004004877226527007,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,template_individual,0.00027499467698538504,0.00034092010543371046,0.0010873616382941487,0.0006805711682449367,0.0006805711682449367,-0.0016694119512195556,-0.0023024234145505407,True
18,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,9.965049288410466e-05,0.00011604714470054738,0.00021174458070416513,-0.0001585385091326108,0.0001585385091326108,-0.0034862758333332558,-0.003952121537234962,True
18,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.00019354472893710062,0.00022391957907177,0.00045338740034372993,-0.00045338740034372993,0.00045338740034372993,-0.0034862758333332558,-0.004628029398718,True
18,5C_67PER_4C_NEWSTRUCTURE,S4,local_linear,0.0001220978633330594,0.0001587820647281129,0.00040283553333286815,0.0001645652666660835,0.0001645652666660835,-0.0034862758333332558,-0.003334446666667749,True
18,5C_67PER_4C_NEWSTRUCTURE,S4,strategy_template,0.000526737449200001,0.000552165138472177,0.0008219811599999849,0.0005349921799999713,0.0005349921799999713,-0.0034862758333332558,-0.0029546767999992043,True
18,5C_67PER_4C_NEWSTRUCTURE,S4,supervised_ridge,0.0002390977257653204,0.0002854388537964325,0.0005282139189850543,-0.0005282139189850543,0.0005282139189850543,-0.0034862758333332558,-0.004726390086672407,True
18,5C_67PER_4C_NEWSTRUCTURE,S4,template_individual,9.267550914049627e-05,0.00012135360217601351,0.0002688896726880108,-7.95510867803717e-05,7.95510867803717e-05,-0.0034862758333332558,-0.003835209670557192,True
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,8.46688634820314e-05,0.0001007307153945532,0.0002007104134190696,-0.00013700938141014696,0.00013700938141014696,-0.0020831573333331597,-0.002269338020356726,True
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,8.355293772142724e-05,9.84413052736081e-05,0.00017973208812382957,-9.6866800005313e-05,9.6866800005313e-05,-0.0020831573333331597,-0.0022450333854385192,True
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,local_linear,0.00018541252327270553,0.00022320435270983493,0.00046911392727277956,0.00024498996363642167,0.00024498996363642167,-0.0020831573333331597,-0.0016204672727272468,True
