battery_id,scope,component,base_weight,similarity_factor,adaptive_weight
5,test_forecast,supervised_ridge,0.16305388430527187,0.25983488800440585,0.18212676797445712
5,test_forecast,individual_quadratic,0.2840145046387438,0.25983488800440585,0.31723650134502457
5,test_forecast,local_linear,0.4114454481678854,0.25983488800440585,0.45957341029867255
9,test_forecast,template_individual,0.14148616288809882,0.9520092407239674,0.13561697763152397
9,test_forecast,supervised_ridge,0.16305388430527187,0.9520092407239674,0.16416859371637604
9,test_forecast,individual_quadratic,0.2840145046387438,0.9520092407239674,0.28595615504811495
9,test_forecast,local_linear,0.4114454481678854,0.9520092407239674,0.41425827360398504
10,test_forecast,template_individual,0.14148616288809882,1.0,0.14148616288809884
10,test_forecast,supervised_ridge,0.16305388430527187,1.0,0.1630538843052719
10,test_forecast,individual_quadratic,0.2840145046387438,1.0,0.28401450463874384
10,test_forecast,local_linear,0.4114454481678854,1.0,0.4114454481678855
11,test_forecast,template_individual,0.14148616288809882,1.0,0.14148616288809884
11,test_forecast,supervised_ridge,0.16305388430527187,1.0,0.1630538843052719
11,test_forecast,individual_quadratic,0.2840145046387438,1.0,0.28401450463874384
11,test_forecast,local_linear,0.4114454481678854,1.0,0.4114454481678855
14,test_forecast,template_individual,0.14148616288809882,1.0,0.14148616288809884
14,test_forecast,supervised_ridge,0.16305388430527187,1.0,0.1630538843052719
14,test_forecast,individual_quadratic,0.2840145046387438,1.0,0.28401450463874384
14,test_forecast,local_linear,0.4114454481678854,1.0,0.4114454481678855
16,test_forecast,template_individual,0.14148616288809882,0.9831076251814304,0.13942936698007297
16,test_forecast,supervised_ridge,0.16305388430527187,0.9831076251814304,0.16344452281047642
16,test_forecast,individual_quadratic,0.2840145046387438,0.9831076251814304,0.2846949361538911
16,test_forecast,local_linear,0.4114454481678854,0.9831076251814304,0.4124311740555595
24,test_forecast,template_individual,0.14148616288809882,1.0,0.14148616288809884
24,test_forecast,supervised_ridge,0.16305388430527187,1.0,0.1630538843052719
24,test_forecast,individual_quadratic,0.2840145046387438,1.0,0.28401450463874384
24,test_forecast,local_linear,0.4114454481678854,1.0,0.4114454481678855
25,test_forecast,template_individual,0.14148616288809882,0.08047931821181925,0.013089668657432387
25,test_forecast,supervised_ridge,0.16305388430527187,0.08047931821181925,0.18743968475540582
25,test_forecast,individual_quadratic,0.2840145046387438,0.08047931821181925,0.32649077599268
25,test_forecast,local_linear,0.4114454481678854,0.08047931821181925,0.4729798705944819
