C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,exposure_p,E1,E2,stress_sum_benchmark,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,p
5.05,65.0,4.65,7.722772277227723,1.9354838709677418,9.658256148195465,5.787288406259981,0.28985051768693937,1,True,True,True,True,2.0,20.720781249999998,4.05421875,24.775,0.0031705705844479156,0.001845690630697679,0.0013248799537502365,0.0009228453153488395,0.0031705705844479156,0.005016261215145595,0.001845690630697679,1.0,0.9936588588311042,1402.1115292139705,False,9.882059625301634,physical_offset,1402.1115292139705,7,2.0
5.05,66.0,4.6,7.841584158415842,1.8260869565217392,9.667671114937582,6.015497201894103,0.2847233115900808,1,True,True,True,True,2.0,21.039562499999995,3.7030000000000003,24.742562499999995,0.0030588027638570594,0.0018449883505446709,0.0012138144133123886,0.0009224941752723354,0.0030588027638570594,0.0049037911144017305,0.0018449883505446709,1.0,0.9938823944722859,1408.104234962215,False,9.891474592043751,physical_offset,1408.104234962215,8,2.0
5.05,66.0,4.55,7.841584158415842,1.8461538461538463,9.687738004569688,5.9954303122619965,0.29112931763577277,2,True,True,True,True,2.0,21.039562499999995,3.6229375000000004,24.662499999999994,0.0030449621058689,0.0018449671059723764,0.0011999949998965237,0.0009224835529861882,0.0030449621058689,0.004889929211841277,0.0018449671059723764,1.0,0.9939100757882622,1408.8277685640805,False,9.911541481675858,physical_offset,1408.8277685640805,9,2.0
5.0,69.0,4.65,8.28,1.4193548387096773,9.699354838709677,6.860645161290322,0.22322894004911492,1,True,True,True,True,2.0,21.5625,2.9730937499999994,24.53559375,0.0028488752411476095,0.001843795511433672,0.0010050797297139376,0.000921897755716836,0.0028488752411476095,0.0046926707525812815,0.001843795511433672,1.0,0.9943022495177049,1419.3981345341947,False,9.923158315815847,physical_offset,1419.3981345341947,10,2.0
5.0,69.0,4.6,8.28,1.434782608695652,9.714782608695652,6.845217391304347,0.2338349954664919,1,True,True,True,True,2.0,21.5625,2.9094999999999986,24.471999999999998,0.00283788158813984,0.0018437786368417051,0.000994102951298135,0.0009218893184208526,0.00283788158813984,0.004681660224981545,0.0018437786368417051,1.0,0.9943242368237203,1419.977832744311,False,9.938586085801822,physical_offset,1419.977832744311,11,2.0
5.0,69.0,4.55,8.28,1.4505494505494505,9.73054945054945,6.829450549450549,0.24680253662680146,1,True,True,True,True,2.0,21.5625,2.8465937499999985,24.409093749999997,0.0028270067854348577,0.0018437619446777594,0.0009832448407570984,0.0009218809723388797,0.0028270067854348577,0.004670768730112617,0.0018437619446777594,1.0,0.9943459864291302,1420.5515104329986,False,9.95435292765562,physical_offset,1420.5515104329986,12,2.0
5.0,69.0,4.5,8.28,1.4666666666666666,9.746666666666666,6.813333333333333,0.2617808637339246,1,True,True,True,True,2.0,21.5625,2.784374999999999,24.346874999999997,0.002816250833032662,0.001843745434941835,0.000972505398090827,0.0009218727174709175,0.002816250833032662,0.004659996267974497,0.001843745434941835,1.0,0.9943674983339347,1421.1191595824157,False,9.970470143772836,physical_offset,1421.1191595824157,13,2.0
4.95,71.0,4.7,8.606060606060604,1.1489361702127658,9.75499677627337,7.457124435847838,0.17541696590322425,1,True,True,True,True,2.0,21.74596875,2.4851250000000014,24.23109375,0.0027351367622925915,0.0018433154816033445,0.0008918212806892469,0.0009216577408016723,0.0027351367622925915,0.004578452243895936,0.0018433154816033445,1.0,0.9945297264754148,1425.50590165926,False,9.97880025337954,physical_offset,1425.50590165926,14,2.0
4.95,71.0,4.65,8.606060606060604,1.161290322580645,9.76735092864125,7.444770283479959,0.1850235547296864,1,True,True,True,True,2.0,21.74596875,2.432531250000001,24.1785,0.002726044714129409,0.0018433015258597178,0.0008827431882696914,0.0009216507629298589,0.002726044714129409,0.004569346239989127,0.0018433015258597178,1.0,0.9945479105717412,1425.987527491122,False,9.99115440574742,physical_offset,1425.987527491122,15,2.0
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,2.0,22.05225,2.115999999999999,24.16825,0.0026222752557845826,0.0018426323333473418,0.0007796429224372408,0.0009213161666736709,0.0026222752557845826,0.004464907589131924,0.0018426323333473418,1.0,0.9947554494884308,1431.6620739123748,False,9.994554465248461,physical_offset,1431.6620739123748,16,2.0
