battery_id,model,cutoff,fit_success,fit_status,fit_rmse,eol_cycle,parameters_json
18,exponential,100,True,ok,0.0005620155453,268.5635113,"[0.9997687485059663, 6.332798526439023e-05, 2.999999999998393]"
18,exponential,150,True,ok,0.0004797649925,376.8296742,"[0.9998166782959038, 0.00022941116702829414, 1.7967765405691216]"
18,exponential,200,True,ok,0.0004717479297,577.8209507,"[1.000054765811873, 0.0010302872355679787, 0.9127205112269268]"
19,linear,100,True,no_crossing_within_5000,0.0005344130037,,"[0.9997903640924902, 0.0003874603654090105]"
19,linear,150,True,no_crossing_within_5000,0.0005095009561,,"[1.000066944716608, 0.0009490911255769898]"
19,linear,200,True,no_crossing_within_5000,0.0005084577639,,"[1.000324851163817, 0.0013367277736005872]"
19,quadratic,100,True,ok,0.000523835925,1880.228618,"[0.9997893285495388, 1.4763727175721301e-08, 0.0005651326078197574]"
19,quadratic,150,True,ok,0.0004452225522,1788.208193,"[0.9998085868756559, 2.8370317151940564e-13, 0.0006248531848542835]"
19,quadratic,200,True,ok,0.0003853215936,1757.006579,"[0.9998210590100024, 2.441234164442596e-13, 0.0006472834168364555]"
19,power,100,True,ok,0.0005117036071,674.0186292,"[0.9997624152008776, 0.0006523761564425891, 2.9999999999999996]"
19,power,150,True,ok,0.000432999748,1127.431685,"[0.9997465681379745, 0.0005262947124651938, 2.4515485755514694]"
19,power,200,True,ok,0.0003770472346,1467.831495,"[0.99977082500505, 0.0005729061702286931, 2.1792238147966057]"
19,exponential,100,True,ok,0.0005186622026,289.0627473,"[0.9997838863716788, 3.423609501901972e-05, 2.999999975331003]"
19,exponential,150,True,ok,0.0004448184396,425.065804,"[0.9997916105398146, 0.00011728522800283441, 1.7505544169483516]"
19,exponential,200,True,ok,0.0003974588443,579.8300734,"[0.9998729004833747, 0.0003473840749521649, 1.0963112714626164]"
20,linear,100,True,no_crossing_within_5000,0.0004823343809,,"[0.9998104922514657, 0.0005511179853463021]"
20,linear,150,True,no_crossing_within_5000,0.000538270259,,"[1.0003214897102735, 0.0015955527623897731]"
20,linear,200,True,no_crossing_within_5000,0.0005738268695,,"[1.000731306091345, 0.0021836338309042117]"
20,quadratic,100,True,ok,0.0004571169484,1598.457125,"[0.9998010156944711, 1.0412782195364793e-22, 0.0007819801127610752]"
20,quadratic,150,True,ok,0.0004062564676,1378.859181,"[0.9998868818691737, 2.6998349803915327e-10, 0.0010513430668559638]"
20,quadratic,200,True,ok,0.0003452731359,1389.944278,"[0.9998685258895389, 1.3412521394358792e-08, 0.00103454461386232]"
20,power,100,True,ok,0.0004358512057,604.1552,"[0.9997666142538758, 0.0009058939488482676, 2.999999995938807]"
20,power,150,True,ok,0.0003761148607,810.861132,"[0.9997529739822336, 0.0008338819047428002, 2.6177434511833555]"
20,power,200,True,ok,0.0003394143007,1284.589377,"[0.9998281313373807, 0.0009759238017400231, 2.0845193720483404]"
20,exponential,100,True,ok,0.0004473961236,277.9306088,"[0.9997973821007554, 4.7816945306345e-05, 2.9999999983207575]"
20,exponential,150,True,ok,0.0003998858011,376.6514437,"[0.9998289187968581, 0.00015738079660416164, 1.8975994744072227]"
20,exponential,200,True,ok,0.0003819845295,570.0590976,"[1.0000108185650056, 0.0007014427608014295, 0.9922634949848349]"
21,linear,100,True,no_crossing_within_5000,0.0004629254605,,"[1.000186316849602, 0.0019763823758085844]"
21,linear,150,True,no_crossing_within_5000,0.0005088802848,,"[1.0006867345320878, 0.0030212668472594777]"
21,linear,200,True,no_crossing_within_5000,0.0005697928466,,"[1.0011142072810564, 0.003644216552187785]"
21,quadratic,100,True,ok,0.000344630944,998.1174113,"[0.9998432237412593, 1.7709421328473764e-20, 0.00200597799103783]"
21,quadratic,150,True,ok,0.0002803584973,1025.153193,"[0.999795191518469, 4.44116770711895e-11, 0.0019011110803671405]"
21,quadratic,200,True,ok,0.0002806306945,1175.259634,"[0.9999541670600458, 0.0007052166078838869, 0.0013876423063383099]"
21,power,100,True,ok,0.000299456934,457.4937508,"[0.9996816883284736, 0.002085368179976023, 2.999999998585036]"
21,power,150,True,ok,0.000281364592,1043.808954,"[0.999804591476131, 0.001915308343010346, 1.9814697787941902]"
21,power,200,True,ok,0.0002669706528,1420.320123,"[0.9999130535895072, 0.0020749225773755093, 1.7215055054288622]"
21,exponential,100,True,ok,0.0003257950119,248.8171395,"[0.9997819562644196, 0.00011455337529771505, 2.9999999999999996]"
21,exponential,150,True,ok,0.0003283088424,451.8705913,"[1.0000090412437643, 0.0009109346958522681, 1.1941894143698928]"
