model,p,alpha,response,loso_rmse,loso_mae,normalized_loso_rmse,scope
separate_phase_exposure,1.5,0.1,R100,0.007489118457384367,0.005611609876141972,1.2729718383388682,dataset3_only
separate_phase_exposure,1.5,0.1,A,0.0004666264589683463,0.00041959317273241583,1.6876819809556722,dataset3_only
separate_phase_exposure,1.5,0.1,combined,,,1.4803269096472702,dataset3_only
separate_phase_exposure,1.5,0.3,R100,0.007516420755028489,0.005574973444501642,1.2776125789307924,dataset3_only
separate_phase_exposure,1.5,0.3,A,0.0004615320177236398,0.00041406293420198046,1.6692565433781779,dataset3_only
separate_phase_exposure,1.5,0.3,combined,,,1.4734345611544852,dataset3_only
separate_phase_exposure,1.5,1.0,R100,0.007419771081367769,0.005399694731715529,1.2611844354243391,dataset3_only
separate_phase_exposure,1.5,1.0,A,0.00045199673003900427,0.00040553032700105875,1.634769572270353,dataset3_only
separate_phase_exposure,1.5,1.0,combined,,,1.447977003847346,dataset3_only
separate_phase_exposure,1.5,3.0,R100,0.007193021584319626,0.004992524092671491,1.2226424193322876,dataset3_only
separate_phase_exposure,1.5,3.0,A,0.00043248001109748963,0.00038881879856142177,1.5641820300255511,dataset3_only
separate_phase_exposure,1.5,3.0,combined,,,1.3934122246789193,dataset3_only
separate_phase_exposure,1.5,10.0,R100,0.006917508049087834,0.004725700537253969,1.1758116777133671,dataset3_only
separate_phase_exposure,1.5,10.0,A,0.00039605321633385437,0.0003572876864436245,1.4324345820079754,dataset3_only
separate_phase_exposure,1.5,10.0,combined,,,1.3041231298606712,dataset3_only
summed_stress_benchmark,1.5,0.0,R100,0.006038129457526272,0.004152535239952678,1.026338253215428,dataset3_only
summed_stress_benchmark,1.5,0.0,A,0.0004919402096065307,0.0004070428053348108,1.7792360709593147,dataset3_only
summed_stress_benchmark,1.5,0.0,combined,,,1.4027871620873713,dataset3_only
summed_stress_benchmark,1.5,0.03,R100,0.0060375938588161406,0.004139578176440203,1.0262472141861312,dataset3_only
summed_stress_benchmark,1.5,0.03,A,0.0004908390200733464,0.00040639829979123083,1.7752533183805583,dataset3_only
summed_stress_benchmark,1.5,0.03,combined,,,1.4007502662833446,dataset3_only
summed_stress_benchmark,1.5,0.1,R100,0.00603669093209198,0.004109937835071798,1.0260937381397206,dataset3_only
summed_stress_benchmark,1.5,0.1,A,0.0004883242702572611,0.00040492394070461036,1.7661580391274232,dataset3_only
summed_stress_benchmark,1.5,0.1,combined,,,1.396125888633572,dataset3_only
summed_stress_benchmark,1.5,0.3,R100,0.006036500630427253,0.004029565373032403,1.0260613913873806,dataset3_only
summed_stress_benchmark,1.5,0.3,A,0.00048153614369033883,0.0004009260829117794,1.7416069261948872,dataset3_only
summed_stress_benchmark,1.5,0.3,combined,,,1.3838341587911338,dataset3_only
summed_stress_benchmark,1.5,1.0,R100,0.0060554156000908275,0.003822821283094065,1.0292764859064187,dataset3_only
summed_stress_benchmark,1.5,1.0,A,0.00046162489721648025,0.0003890324559781072,1.6695924674207487,dataset3_only
summed_stress_benchmark,1.5,1.0,combined,,,1.3494344766635837,dataset3_only
summed_stress_benchmark,1.5,3.0,R100,0.006169792336566776,0.0036336656850700414,1.0487178080491373,dataset3_only
summed_stress_benchmark,1.5,3.0,A,0.0004252714948460297,0.0003665195192822278,1.538110463029732,dataset3_only
summed_stress_benchmark,1.5,3.0,combined,,,1.2934141355394346,dataset3_only
summed_stress_benchmark,1.5,10.0,R100,0.006492015485945718,0.004310398879233002,1.1034880720200333,dataset3_only
summed_stress_benchmark,1.5,10.0,A,0.00037813235246127126,0.00033500140790799674,1.3676188852989088,dataset3_only
summed_stress_benchmark,1.5,10.0,combined,,,1.235553478659471,dataset3_only
separate_phase_exposure,2.0,0.0,R100,0.006565197550436245,0.005135257697625296,1.1159272806796432,dataset3_only
separate_phase_exposure,2.0,0.0,A,0.0006063366864157587,0.000534742013269705,2.1929821603315083,dataset3_only
separate_phase_exposure,2.0,0.0,combined,,,1.6544547205055757,dataset3_only
separate_phase_exposure,2.0,0.03,R100,0.007058095502280432,0.005388491264925454,1.1997081976784774,dataset3_only
separate_phase_exposure,2.0,0.03,A,0.0005017512398414027,0.0004496485332684417,1.8147203402796022,dataset3_only
separate_phase_exposure,2.0,0.03,combined,,,1.5072142689790398,dataset3_only
separate_phase_exposure,2.0,0.1,R100,0.00726775979458253,0.005432486467573085,1.235346135724798,dataset3_only
separate_phase_exposure,2.0,0.1,A,0.0004856025940330813,0.000432015134054377,1.756314354027142,dataset3_only
separate_phase_exposure,2.0,0.1,combined,,,1.49583024487597,dataset3_only
separate_phase_exposure,2.0,0.3,R100,0.007306212040499012,0.005371070339988445,1.2418821020673116,dataset3_only
