scope,response,iteration,predictor,standardized_beta
all_unadjusted,SOH_200,54,C1,0.10507994272568752
all_unadjusted,SOH_200,54,Q1,0.0225327766723091
all_unadjusted,SOH_200,54,C2,-0.7230850875344322
all_unadjusted,SOH_200,55,C1,0.939095310091476
all_unadjusted,SOH_200,55,Q1,0.606465353440787
all_unadjusted,SOH_200,55,C2,-0.6954621606554273
all_unadjusted,SOH_200,56,C1,0.3327745093734069
all_unadjusted,SOH_200,56,Q1,0.01719326377943567
all_unadjusted,SOH_200,56,C2,-0.8326455921428823
all_unadjusted,SOH_200,57,C1,0.6623290456853533
all_unadjusted,SOH_200,57,Q1,0.4022264704528703
all_unadjusted,SOH_200,57,C2,-0.5186511769376595
all_unadjusted,SOH_200,58,C1,0.31642375545132034
all_unadjusted,SOH_200,58,Q1,0.5590846265321123
all_unadjusted,SOH_200,58,C2,-0.4969617267590795
all_unadjusted,SOH_200,59,C1,0.3439374218244694
all_unadjusted,SOH_200,59,Q1,0.18809897851699758
all_unadjusted,SOH_200,59,C2,-0.7461337531689249
all_unadjusted,SOH_200,60,C1,0.6810893965572855
all_unadjusted,SOH_200,60,Q1,-0.19364460132414058
all_unadjusted,SOH_200,60,C2,-1.700554223364825
all_unadjusted,SOH_200,61,C1,0.5257111461039532
all_unadjusted,SOH_200,61,Q1,0.3765623445750918
all_unadjusted,SOH_200,61,C2,-0.5682530221273312
all_unadjusted,SOH_200,62,C1,0.301793938223376
all_unadjusted,SOH_200,62,Q1,0.3546134491596491
all_unadjusted,SOH_200,62,C2,-0.6829986317322903
all_unadjusted,SOH_200,63,C1,0.15078932185737454
all_unadjusted,SOH_200,63,Q1,0.043650811205958304
all_unadjusted,SOH_200,63,C2,-0.6340371422549307
all_unadjusted,SOH_200,64,C1,0.5039489740042009
all_unadjusted,SOH_200,64,Q1,0.32453773185753776
all_unadjusted,SOH_200,64,C2,-0.5432808824103196
all_unadjusted,SOH_200,65,C1,0.47850079158553105
all_unadjusted,SOH_200,65,Q1,0.4851483411886399
all_unadjusted,SOH_200,65,C2,-0.1383899549225069
all_unadjusted,SOH_200,66,C1,0.9403534262920441
all_unadjusted,SOH_200,66,Q1,0.4839574387019515
all_unadjusted,SOH_200,66,C2,0.1877368044561435
all_unadjusted,SOH_200,67,C1,-0.07240829207043911
all_unadjusted,SOH_200,67,Q1,-0.5240453323718682
all_unadjusted,SOH_200,67,C2,-0.7211378564347805
all_unadjusted,SOH_200,68,C1,0.8133592451404698
all_unadjusted,SOH_200,68,Q1,0.6042387556511056
all_unadjusted,SOH_200,68,C2,0.004909640079014108
all_unadjusted,SOH_200,69,C1,0.2185531150953345
all_unadjusted,SOH_200,69,Q1,0.12080973666336015
all_unadjusted,SOH_200,69,C2,-0.7656264053742718
all_unadjusted,SOH_200,70,C1,0.1678778632167678
all_unadjusted,SOH_200,70,Q1,-0.15647556522199343
all_unadjusted,SOH_200,70,C2,-1.0052146958937702
all_unadjusted,SOH_200,71,C1,0.14262571128168772
all_unadjusted,SOH_200,71,Q1,-0.6828026725929305
all_unadjusted,SOH_200,71,C2,-1.2130531207764206
all_unadjusted,SOH_200,72,C1,0.26076608126670986
all_unadjusted,SOH_200,72,Q1,0.39354463773811393
all_unadjusted,SOH_200,72,C2,-0.6192301709214166
all_unadjusted,SOH_200,73,C1,0.14624569645684574
all_unadjusted,SOH_200,73,Q1,0.3707075099334559
all_unadjusted,SOH_200,73,C2,-0.33271995107710395
all_unadjusted,SOH_200,76,C1,1.0562243799947013
all_unadjusted,SOH_200,76,Q1,0.7208673508794461
all_unadjusted,SOH_200,76,C2,0.04295662649446713
all_unadjusted,SOH_200,77,C1,0.46708042637380315
all_unadjusted,SOH_200,77,Q1,0.38574512647783077
all_unadjusted,SOH_200,77,C2,-0.5687848468924595
all_unadjusted,SOH_200,78,C1,0.0937324796738709
all_unadjusted,SOH_200,78,Q1,-0.0027300070538148202
all_unadjusted,SOH_200,78,C2,-0.705458265200573
all_unadjusted,SOH_200,79,C1,0.18309547486921707
all_unadjusted,SOH_200,79,Q1,0.12930996145430784
all_unadjusted,SOH_200,79,C2,-0.822635832613793
all_unadjusted,SOH_200,80,C1,0.3662860191989391
all_unadjusted,SOH_200,80,Q1,0.10617708627236346
all_unadjusted,SOH_200,80,C2,-0.7599613911193493
