scope,p,response,n,k_including_intercept,fit_r_squared,AICc,loo_rmse,loo_mae,normalized_loo_rmse,selected_shared_p
dataset3_only,1.5,eol_point,6.0,2.0,0.7525545761587975,62.605428116607925,136.14617851675172,130.71391406254608,0.7153339316669542,False
all_parameterized,1.55,SOH_200,8.0,2.0,0.17754543180425209,-69.07476863248807,0.03435468096377028,0.019727586118266027,3.484850082938868,False
all_parameterized,1.55,SOH_slope_50_200_per100,8.0,2.0,0.14433918844423788,-78.68209570588711,0.01804412344855387,0.010666111740804878,3.403332671059563,False
all_parameterized,1.55,eol_point,8.0,2.0,0.040502403952872745,95.01004581994614,383.9889024543512,315.0379091532586,1.479661068952113,False
dataset3_only,1.55,SOH_200,6.0,2.0,0.9013747116214346,-60.13599382351644,0.011083013918527092,0.007631231681860991,1.0175971135101642,False
dataset3_only,1.55,SOH_slope_50_200_per100,6.0,2.0,0.9057743878738641,-67.93048888828946,0.005787913887179333,0.0039953577902314555,0.9945407271261842,False
dataset3_only,1.55,eol_point,6.0,2.0,0.7521808660303535,62.61448291837341,136.38114074788047,130.95045919734073,0.7165684610413199,False
all_parameterized,1.6,SOH_200,8.0,2.0,0.1809306818448395,-69.10776484892146,0.03355057615005316,0.01942937674948844,3.4032837680099433,False
all_parameterized,1.6,SOH_slope_50_200_per100,8.0,2.0,0.14730832057558618,-78.70990387907501,0.017630177971230534,0.010512185983888676,3.325257713801123,False
all_parameterized,1.6,eol_point,8.0,2.0,0.04096173026348915,95.00621517948674,379.6320512574406,312.58172822957204,1.4628723986075254,False
dataset3_only,1.6,SOH_200,6.0,2.0,0.9012972204823314,-60.13128139853326,0.011083618302900031,0.007633981367754135,1.0176526056170834,False
dataset3_only,1.6,SOH_slope_50_200_per100,6.0,2.0,0.9056870103030593,-67.92492752889362,0.005788606248713443,0.00399696842621309,0.9946596960253403,False
dataset3_only,1.6,eol_point,6.0,2.0,0.7518196218420719,62.62322270726406,136.60826487976777,131.17773942452627,0.717761807780901,False
all_parameterized,1.65,SOH_200,8.0,2.0,0.18435520357553825,-69.14128289795207,0.032780743040488156,0.019143102371694795,3.3251938862105495,False
all_parameterized,1.65,SOH_slope_50_200_per100,8.0,2.0,0.1503148535408373,-78.73816118188012,0.0172339984620433,0.010364449310382873,3.250533625869364,False
all_parameterized,1.65,eol_point,8.0,2.0,0.0414236847878342,95.00236076964312,375.52413383085997,310.22440293990064,1.447042968507514,False
dataset3_only,1.65,SOH_200,6.0,2.0,0.9012263389919044,-60.12697416107551,0.011084061499457629,0.007636521865657349,1.0176932981165285,False
dataset3_only,1.65,SOH_slope_50_200_per100,6.0,2.0,0.9056064065517302,-67.91980187265709,0.005789202406336167,0.003998463285650126,0.9947621341484953,False
dataset3_only,1.65,eol_point,6.0,2.0,0.7514701746294056,62.63166498852591,136.82794206355052,131.39624425382183,0.7189160270567179,False
all_parameterized,1.7000000000000002,SOH_200,8.0,2.0,0.1878185790488407,-69.17532467132813,0.03204324660175194,0.018868078774087624,3.2503841527594552,False
all_parameterized,1.7000000000000002,SOH_slope_50_200_per100,8.0,2.0,0.15335847052992702,-78.76686905093281,0.016854583064238655,0.010222547651719021,3.178971445365933,False
all_parameterized,1.7000000000000002,eol_point,8.0,2.0,0.04188817915436127,94.9984832948103,371.6491354076704,307.9604013220959,1.432111067422883,False
dataset3_only,1.7000000000000002,SOH_200,6.0,2.0,0.9011618436993939,-60.12305767698997,0.011084350786699214,0.00763886196703097,1.0177198592906076,False
dataset3_only,1.7000000000000002,SOH_slope_50_200_per100,6.0,2.0,0.905532340784913,-67.91509582927954,0.005789706760129909,0.003999847258956343,0.9948487975644573,False
dataset3_only,1.7000000000000002,eol_point,6.0,2.0,0.7511319039064459,62.639825958096075,137.04053709707978,131.60642705150784,0.7200330355753862,False
all_parameterized,1.75,SOH_200,8.0,2.0,0.19132035875369147,-69.209891830572,0.03133629428431054,0.01860367220540647,3.1786727360629197,False
all_parameterized,1.75,SOH_slope_50_200_per100,8.0,2.0,0.15643882584134017,-78.79602871293258,0.016491003626391876,0.01008615304309977,3.110396112079317,False
all_parameterized,1.75,eol_point,8.0,2.0,0.04235512230225191,94.99458348304408,367.9922573618065,305.78460106741744,1.4180196703960801,False
dataset3_only,1.75,SOH_200,6.0,2.0,0.9011035246327482,-60.11951844456448,0.011084492944123468,0.0076410098182688735,1.017732911605226,False
dataset3_only,1.75,SOH_slope_50_200_per100,6.0,2.0,0.905464591581544,-67.91079436219,0.005790123408046609,0.004001124878529962,0.9949203904267748,False
dataset3_only,1.75,eol_point,6.0,2.0,0.7508042333627561,62.6477206225875,137.2463905616182,131.80870830921756,0.7211146228056691,False
all_parameterized,1.8,SOH_200,8.0,2.0,0.1948600615357482,-69.24498580021199,0.030658223086260438,0.01834929480165516,3.109890945504151,False
all_parameterized,1.8,SOH_slope_50_200_per100,8.0,2.0,0.15955554473545708,-78.82564117881334,0.016142399012732234,0.009954961258837235,3.0446452057339584,False
all_parameterized,1.8,eol_point,8.0,2.0,0.042824420536547,94.99066208567704,364.53980979717517,303.69225251059925,1.4047160248445245,False
dataset3_only,1.8,SOH_200,6.0,2.0,0.9010511842834695,-60.11634382159238,0.011084494293794756,0.0076429729795521135,1.0177330355265364,False
dataset3_only,1.8,SOH_slope_50_200_per100,6.0,2.0,0.9054029508353203,-67.9068834048095,0.005790456171112437,0.00400230035132721,0.9949775693046746,False
dataset3_only,1.8,eol_point,6.0,2.0,0.7504866270086415,62.65536290635932,137.44582075934673,132.00347856637882,0.722162461158449,False
all_parameterized,1.85,SOH_200,8.0,2.0,0.19843717456990329,-69.28060776116014,0.030007488000053772,0.018104400502619897,3.043882059508964,False
all_parameterized,1.85,SOH_slope_50_200_per100,8.0,2.0,0.16270822333422807,-78.85570723806248,0.015807969128352445,0.009828689700362596,2.9815678190748893,False
all_parameterized,1.85,eol_point,8.0,2.0,0.043295977588934664,94.98671987688633,361.27911522888854,301.6789455582285,1.3921512794063127,False
dataset3_only,1.85,SOH_200,6.0,2.0,0.9010046366765064,-60.11352195890079,0.011084360737904394,0.00764475847741521,1.0177207729696611,False
dataset3_only,1.85,SOH_slope_50_200_per100,6.0,2.0,0.9053472227494934,-67.9033497843993,0.0057907086161989784,0.004003377587965825,0.9950209470958481,False
dataset3_only,1.85,eol_point,6.0,2.0,0.7501785857154315,62.66276574726214,137.63912547229387,132.191101028119,0.723178115228425,False
all_parameterized,1.9,SOH_200,8.0,2.0,0.20205115338637403,-69.31675864425227,0.0293826516729413,0.01786848139736806,2.980500276727822,False
all_parameterized,1.9,SOH_slope_50_200_per100,8.0,2.0,0.16589642856857245,-78.88622745320941,0.015486969571891863,0.009707075506002463,2.9210235493012595,False
all_parameterized,1.9,eol_point,8.0,2.0,0.043769694684188676,94.98275765321291,358.19842202184543,299.7405800752658,1.380280150384846,False
dataset3_only,1.9,SOH_200,6.0,2.0,0.9009637065176875,-60.11104173972399,0.01108409779275991,0.007646372851791687,1.0176966304194481,False
dataset3_only,1.9,SOH_slope_50_200_per100,6.0,2.0,0.90529722291703,-67.90018115274432,0.005790884076624624,0.004004360228780583,0.9950510965664009,False
dataset3_only,1.9,eol_point,6.0,2.0,0.7498796441045341,62.669941182427365,137.8265835609895,132.37191391480155,0.7241630501936978,False
all_parameterized,1.9500000000000002,SOH_200,8.0,2.0,0.20570142195164198,-69.35343912396793,0.028782375135197023,0.017641064447128985,2.919609775530898,False
