scope,response,n_strategies,n_predictors,residual_df,coefficient,standardized_beta,standard_error,p_value_descriptive_only,ci95_low_descriptive_only,ci95_high_descriptive_only,r_squared,adjusted_r_squared,condition_number
all_unadjusted,SOH_slope_50_200_per100,8,3,4.0,Q1,0.19753539053662225,0.24370156118379727,0.463085764376605,-0.47908861614119225,0.8741593972144368,0.8431549704138557,0.7255211982242474,1.9781674914211675
all_unadjusted,SOH_slope_50_200_per100,8,3,4.0,C2,-0.6646002862832392,0.23546299220139538,0.04770559036773819,-1.3183503584360297,-0.010850214130448732,0.8431549704138557,0.7255211982242474,1.9781674914211675
all_unadjusted,SOH_curvature_per100sq,8,3,4.0,const,-6.938893903907228e-17,0.4055521115126809,0.9999999999999999,-1.1259931749120125,1.1259931749120125,0.342109939390424,-0.15130760606675797,1.9781674914211675
all_unadjusted,SOH_curvature_per100sq,8,3,4.0,C1,-0.09961028879303863,0.4744513926786264,0.8439681632529006,-1.416898535649887,1.21767795806381,0.342109939390424,-0.15130760606675797,1.9781674914211675
all_unadjusted,SOH_curvature_per100sq,8,3,4.0,Q1,-0.6521059338445818,0.4991138181903487,0.26143063147316903,-2.037868051295757,0.7336561836065933,0.342109939390424,-0.15130760606675797,1.9781674914211675
all_unadjusted,SOH_curvature_per100sq,8,3,4.0,C2,-0.11354757302892643,0.4822407887306401,0.8254167405595432,-1.4524626504268352,1.2253675043689825,0.342109939390424,-0.15130760606675797,1.9781674914211675
all_unadjusted,eol_point,8,3,4.0,const,5.898059818321144e-16,0.42450520007209797,0.999999999999999,-1.1786153848711858,1.178615384871187,0.27918134044699217,-0.2614326542177636,1.9781674914211675
all_unadjusted,eol_point,8,3,4.0,C1,0.11822088888207641,0.49662442299287146,0.8235402008395524,-1.26062955945816,1.4970713372223128,0.27918134044699217,-0.2614326542177636,1.9781674914211675
all_unadjusted,eol_point,8,3,4.0,Q1,-0.1287997794086766,0.5224394232823953,0.817403043454213,-1.5793241589434412,1.321724600126088,0.27918134044699217,-0.2614326542177636,1.9781674914211675
all_unadjusted,eol_point,8,3,4.0,C2,-0.5101987116408209,0.5047778489907472,0.36931512004982875,-1.9116866996834518,0.8912892764018101,0.27918134044699217,-0.2614326542177636,1.9781674914211675
all_batch_adjusted,SOH_150,8,5,2.0,const,-3.7192471324942744e-15,0.07357512009497494,0.9999999999999643,-0.3165681913182921,0.3165681913182847,0.98917340340602,0.96210691192107,10.098423496792202
all_batch_adjusted,SOH_150,8,5,2.0,C1,1.245768808252953,0.22260421730591096,0.030477323395075594,0.2879801650079328,2.203557451497973,0.98917340340602,0.96210691192107,10.098423496792202
all_batch_adjusted,SOH_150,8,5,2.0,Q1,0.6587225495683072,0.13039816033476598,0.03702403731418075,0.09766454904961841,1.219780550086996,0.98917340340602,0.96210691192107,10.098423496792202
all_batch_adjusted,SOH_150,8,5,2.0,C2,0.14109399421664437,0.21377242367113622,0.5770864938327,-0.7786945080371284,1.060882496470417,0.98917340340602,0.96210691192107,10.098423496792202
all_batch_adjusted,SOH_150,8,5,2.0,dataset_2,-1.100197697975795,0.26253858784138423,0.05249960843101875,-2.2298100696160956,0.029414673664505786,0.98917340340602,0.96210691192107,10.098423496792202
all_batch_adjusted,SOH_150,8,5,2.0,dataset_3,-1.0972311874023306,0.28618639154370773,0.06179165021885772,-2.328591846195013,0.1341294713903518,0.98917340340602,0.96210691192107,10.098423496792202
all_batch_adjusted,SOH_200,8,5,2.0,const,-2.858824288409778e-15,0.07262736693947427,0.9999999999999721,-0.31249033861664766,0.312490338616642,0.989450531142878,0.9630768590000729,10.098423496792202
all_batch_adjusted,SOH_200,8,5,2.0,C1,1.2569508469793207,0.21973675546409413,0.02922785978137097,0.31149989625544605,2.202401797703195,0.989450531142878,0.9630768590000729,10.098423496792202
all_batch_adjusted,SOH_200,8,5,2.0,Q1,0.678881034061767,0.12871844485799577,0.034120338038004315,0.12505026592440593,1.2327118021991281,0.989450531142878,0.9630768590000729,10.098423496792202
