battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_abs_error,trend_sign_match,model_RMSE_mean
18,5C_67PER_4C_NEWSTRUCTURE,S4,policy_informed_quadratic,0.00012800258944013044,0.0001662595361525148,0.0003597720166685914,8.300189108345624e-05,True,0.000596795289142928
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,8.46688634820425e-05,0.00010073071539456788,0.0002007104134191806,0.00013700938141014696,True,0.0003613168770037458
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,8.355293772143391e-05,9.84413052736154e-05,0.00017973208812382957,9.686680000520198e-05,True,0.0005139258875932585
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.0002350127895680676,0.000259747478395578,0.0004770159230264026,0.00023220523347211586,True,0.000596795289142928
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.00019060212688399415,0.0003416305653243953,0.0012585982831482267,0.00020951373171507193,True,0.0003613168770037458
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.0002063243401608772,0.0003393470241933464,0.0012485095785483846,0.0003878476023095878,True,0.0005139258875932585
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,policy_informed_quadratic,0.00023622995977880867,0.000393647609102699,0.0013770113650032334,0.00011398456971256632,True,0.000596795289142928
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.596163137426394e-05,0.00011242585919378104,0.00021577745916379065,0.000201091426126232,True,0.0003613168770037458
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0005434826353584676,0.0006083329477810445,0.0011415253612589993,0.0011415253612589993,True,0.0005139258875932585
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.00044911735296736754,0.0005132296241991861,0.0009988433683896236,0.0009988433683896236,True,0.000596795289142928
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.0001042476839775297,0.00011891266519247297,0.0002751302480590301,0.0001965090668017977,True,0.0003613168770037458
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.00017270240260667703,0.0002073822857992769,0.000408556156198725,0.000408556156198725,True,0.0005139258875932585
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.00010554091828855583,0.00012255160422313172,0.0002746111597420331,0.0002320931001251747,True,0.000596795289142928
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.962653351528462e-05,0.00011856026113693333,0.0002623916150371608,0.00014542773349257576,True,0.0003613168770037458
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0004185423100436014,0.0004981391199558251,0.0009998193084630458,0.0009998193084630458,True,0.0005139258875932585
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.00022706286727066204,0.00026787759605782324,0.000624010598248792,0.000624010598248792,True,0.000596795289142928
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,9.946683976519655e-05,0.00012035539006934405,0.0002634395171289272,0.00015343812961599035,True,0.0003613168770037458
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,0.00011181240473751242,0.00014977638552508797,0.00033612209304478835,0.00026394729547563056,True,0.0005139258875932585
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.00021722588566699396,0.00025372570205820015,0.0005033299132212177,0.00013927890547160704,True,0.000596795289142928
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.92383823219356e-05,0.00012635393983989764,0.0002757548482399397,0.00013796606205562778,True,0.0003613168770037458
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0003273941619669385,0.0003594260063399877,0.0005435565731559677,0.0004259558111633366,True,0.0005139258875932585
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.00048299794214243794,0.000519754344803979,0.0007875661354990182,0.0006971182465653758,True,0.000596795289142928
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.00010467917482147593,0.00012513699154194415,0.0002798307460999405,0.00013440410521847745,True,0.0003613168770037458
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.00040604162838859815,0.00043498475772860834,0.0006622428666891444,0.0004356646503204109,True,0.0005139258875932585
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.0004943544274823064,0.0005264708784563805,0.0007899479053747882,0.0005913394339778222,True,0.000596795289142928
29,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,0.00010754108424385844,0.00014023693163678716,0.00033045766587080916,2.183719032444742e-05,True,0.0003613168770037458
29,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.0001717657296955233,0.0001900393919783345,0.00036847617717938874,0.00036847617717938874,True,0.0005139258875932585
29,5C_67PER_4C_NEWSTRUCTURE,S4,policy_informed_quadratic,0.00010461840153410452,0.00013066647284816043,0.0002723961995707569,0.0001616196539241388,True,0.000596795289142928
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,adaptive_ensemble,0.00018265568953762968,0.00022014341413101814,0.0004941304064639551,0.00016718297656892478,True,0.0003613168770037458
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,individual_quadratic,0.0005697985197428101,0.0006072486766772032,0.000990609949688026,0.0009524609698912112,True,0.0005139258875932585
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,policy_informed_quadratic,0.0007345609369500661,0.0007781458615341671,0.0012396782749907187,0.0012396782749907187,True,0.000596795289142928
31,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,0.0002689195350767881,0.0003084837300133752,0.000676013629395178,0.000676013629395178,True,0.0003613168770037458
31,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.0005439126656759474,0.0005936947874571139,0.0010421916212063342,0.0010421916212063342,True,0.0005139258875932585
