battery_id,strategy,strategy_code,penalty,prior_source,prior_peer_n,prior_d1,prior_d2,fitted_a,fitted_d1,fitted_d2,early_fit_rmse,future_MAE,future_RMSE,future_MaxAE,cycle200_error,selected
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3.0,leave_target_out_policy_parameter_model,6,0.002741172671307857,0.0010221558401096187,1.0010395881362522,0.002614994941559839,0.0010018338228517084,0.0008451772072572352,0.0020668558877750764,0.002077812054704092,0.0024377538671441767,-0.002365325338274271,False
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,10.0,leave_target_out_policy_parameter_model,6,0.002741172671307857,0.0010221558401096187,1.0011154180941555,0.0027014818340485532,0.0010157143543550135,0.0008896611333678504,0.0021858518723014584,0.0021979715043935703,0.0025875851920740267,-0.0025179912913616542,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.0,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,0.9996316925574136,1.829234706458444e-10,0.0012597158838898574,0.00020310560902267328,0.0004641817781769775,0.0004770738264391317,0.0006862409980659123,-0.0006325709439927163,True
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.01,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,0.9997622418273883,0.00045862656660746983,0.0009749340275812082,0.0002128124385847428,0.00025545599243302907,0.00027824450026824033,0.0004993030897916251,-0.0002801470161514219,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.03,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,0.9998340956405098,0.0006289698929202451,0.0008999932889030499,0.00022015825990096485,0.00025017472746021065,0.0002755887069940202,0.000508150307754307,-0.0002492169009429279,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.1,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,0.9999580576812281,0.0008102819086124256,0.0008828840245392725,0.00024288478408634735,0.000391362011879266,0.0004060510294595893,0.0006304877753722238,-0.00041944183415376646,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.3,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,1.0001452464110603,0.0010358298178440393,0.0009051163434648566,0.00030880054875043883,0.0006689489488889943,0.0006766450240917809,0.0008610904367601924,-0.0007722781984872418,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,1.0,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,1.0003624989734832,0.001287732184943829,0.0009407444760613617,0.00041285390077464636,0.001004262535688114,0.0010112205188351185,0.0012531538754123606,-0.0012013429006498821,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3.0,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,1.0004828789744475,0.001425996526509555,0.0009617938397137996,0.0004768543858163029,0.0011918073734532618,0.0011996237507613545,0.001480228082127888,-0.0014416890374266966,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,10.0,leave_target_out_policy_parameter_model,6,0.001518120910662337,0.0009762220451064763,1.0005374384549715,0.0014884531529610113,0.0009715415501953473,0.0005067683029468406,0.0012770854603983684,0.0012854528436933956,0.001583520940088179,-0.0015510336517320367,False
